customer_id,email,first_name,last_name,age,gender,annual_income,marital_status,education,location_type,city,state,country,signup_date,last_login,preferred_channel,is_active
1,tommymiller@example.net,William,Stuart,52,Other,60852,Divorced,Some College,Rural,West Stephanietown,Nevada,USA,2024-02-28,2024-03-28,Web,True
2,zknight@example.org,Chad,Foster,54,F,110690,Widowed,PhD,Rural,New Coreyside,Montana,USA,2024-07-16,2024-08-11,Web,True
3,hannah52@example.com,Thomas,Coleman,41,Other,57975,Widowed,PhD,Rural,Bellstad,North Carolina,USA,2024-08-17,2024-09-10,Email,True
4,justin02@example.net,Jeffrey,Butler,68,Other,88023,Single,Some College,Suburban,Port Virginia,California,USA,2023-08-13,2023-08-13,Web,True
5,hharris@example.com,John,Simmons,37,F,81276,Widowed,Some College,Urban,North Laurie,Ohio,USA,2023-01-18,2023-01-19,Mobile App,True
6,jacqueline86@example.org,Alexa,Schroeder,38,F,51028,Widowed,Some College,Rural,Dannyberg,Arizona,USA,2023-05-23,2023-06-21,Mobile App,True
7,wilkersonamanda@example.com,Elizabeth,Maynard,48,M,15000,Married,High School,Rural,Stephaniefort,South Carolina,USA,2023-08-18,2023-09-09,Web,True
8,tpeterson@example.org,Robert,Higgins,19,Other,48131,Widowed,Bachelor,Urban,New Jamie,Idaho,USA,2023-01-27,2023-02-18,Web,True
9,jason04@example.org,Ashley,Ware,29,F,74427,Married,High School,Urban,New Jordantown,New Mexico,USA,2023-03-17,2023-03-28,Web,False
10,kurtedwards@example.net,Brandon,Wood,31,M,22630,Widowed,Some College,Urban,Tanyamouth,Massachusetts,USA,2023-03-20,2023-04-04,Email,True
11,stevenpena@example.net,Chad,Boone,66,Other,58226,Divorced,Master,Suburban,Lake Cole,Colorado,USA,2024-06-24,2024-07-17,Mobile App,True
12,bobbymoore@example.com,Mary,Miller,46,Other,22257,Single,Bachelor,Urban,North David,Iowa,USA,2024-10-22,2024-10-26,Web,True
13,murillosheryl@example.net,Emily,Carter,36,Other,68327,Married,PhD,Urban,Lake Adam,South Dakota,USA,2023-02-02,2023-02-02,Mobile App,True
14,bsmith@example.com,Nathan,Johnson,27,F,76270,Divorced,PhD,Rural,Ortizfurt,Hawaii,USA,2024-11-27,2024-12-06,Email,True
15,nolanandrew@example.net,Douglas,Houston,35,F,56249,Single,PhD,Suburban,Rodriguezstad,New Mexico,USA,2023-06-10,2023-07-10,Web,True
16,wallcatherine@example.org,Kyle,Collins,35,Other,120568,Single,Some College,Suburban,Kevintown,Utah,USA,2024-02-15,2024-02-20,Email,True
17,rebecca19@example.net,Darlene,Simmons,44,M,33268,Widowed,Master,Suburban,Coreyshire,Massachusetts,USA,2024-09-11,2024-10-01,Email,True
18,webbkelli@example.com,Jeffrey,Ellis,57,M,28374,Single,Bachelor,Rural,Owenston,Missouri,USA,2024-01-25,2024-02-07,Web,True
19,qnewton@example.net,David,Mason,48,M,15000,Divorced,PhD,Suburban,Adamsview,Wisconsin,USA,2023-04-17,2023-04-17,Web,True
20,cherylwilson@example.net,Tracey,Baker,25,M,70905,Single,Some College,Rural,Angelashire,Vermont,USA,2024-07-08,2024-07-08,Mobile App,True
21,lisajordan@example.org,Craig,Schmidt,56,Other,70141,Single,Some College,Suburban,Port Christopher,Colorado,USA,2023-07-26,2023-07-28,Email,True
22,allenfrank@example.com,Valerie,Wall,43,F,55966,Single,High School,Suburban,East Susan,New Jersey,USA,2024-07-31,2024-08-02,Mobile App,False
23,danielsims@example.org,Melissa,Fuller,22,F,43404,Widowed,PhD,Urban,Angelaville,Massachusetts,USA,2024-01-01,2024-01-11,Mobile App,True
24,ronaldkirby@example.net,Amber,Martinez,38,Other,96713,Single,Bachelor,Suburban,Marcusburgh,New Hampshire,USA,2023-05-13,2023-06-10,Email,True
25,davislinda@example.com,Gabriel,Chambers,50,M,15000,Single,PhD,Suburban,South Laurenstad,Nebraska,USA,2024-05-29,2024-06-13,Email,True
26,pmartinez@example.com,Hannah,Reyes,49,F,53447,Married,Some College,Rural,South Dianatown,Wisconsin,USA,2023-02-08,2023-02-22,Web,True
27,kim83@example.com,Lisa,Lopez,34,Other,83350,Married,Some College,Rural,North Rebecca,Utah,USA,2023-04-06,2023-04-26,Web,True
28,mark15@example.com,Carrie,Williams,60,Other,92938,Divorced,Master,Urban,Port Sarah,Massachusetts,USA,2023-06-14,2023-06-24,Mobile App,True
29,terri38@example.com,Courtney,Rivera,32,M,55723,Widowed,Some College,Urban,South Derek,South Carolina,USA,2024-03-17,2024-04-05,Email,False
30,xallen@example.org,Daniel,Kirby,49,Other,94266,Widowed,High School,Urban,Lucasside,Iowa,USA,2023-06-06,2023-06-10,Mobile App,True
31,jeremy38@example.net,Michelle,Gutierrez,37,F,59430,Single,Master,Suburban,Port Joshua,Washington,USA,2023-03-31,2023-04-05,Mobile App,True
32,williammiller@example.net,Barbara,Andrade,28,Other,29113,Divorced,Bachelor,Urban,East Mario,New Mexico,USA,2023-10-14,2023-10-16,Web,True
33,jillianboyer@example.org,Nicole,Perez,57,F,105687,Widowed,Bachelor,Suburban,Port Aaron,North Dakota,USA,2024-04-16,2024-05-06,Web,True
34,jennifernelson@example.net,Ariel,Townsend,43,F,95105,Single,Bachelor,Suburban,New Cheryl,Kansas,USA,2024-08-05,2024-08-17,Mobile App,True
35,haleyjoseph@example.org,Samantha,White,50,M,45646,Widowed,Bachelor,Rural,New David,Utah,USA,2024-11-27,2024-12-24,Email,True
36,samantha28@example.net,Gregory,Jackson,50,M,111141,Widowed,PhD,Suburban,West Jason,Nebraska,USA,2024-01-18,2024-01-26,Email,False
37,taylorbrewer@example.org,George,Mayer,44,M,111939,Married,PhD,Urban,South Jeff,Maryland,USA,2024-10-21,2024-10-25,Web,True
38,josephclark@example.org,Ashley,Pennington,18,Other,89657,Widowed,High School,Urban,Gordonberg,Montana,USA,2023-06-12,2023-06-24,Mobile App,True
39,melissarichardson@example.com,Kenneth,Garcia,46,F,56029,Widowed,PhD,Suburban,West Kevinborough,North Dakota,USA,2023-12-24,2023-12-27,Web,True
40,gonzalezaaron@example.org,Kristin,Pugh,46,F,15000,Widowed,Some College,Suburban,Lake Nicholasview,Hawaii,USA,2023-04-21,2023-05-01,Web,True
41,jessica77@example.com,Robert,Vaughn,41,F,75713,Married,Master,Urban,East Evelynfort,Kansas,USA,2024-09-10,2024-09-18,Mobile App,False
42,aking@example.org,Regina,Barrera,67,F,49451,Married,Some College,Suburban,East Stephanieland,North Carolina,USA,2023-06-09,2023-06-27,Web,True
43,christinascott@example.com,Jill,Watson,32,M,49947,Divorced,Master,Suburban,Jaredshire,Arizona,USA,2024-01-25,2024-01-31,Web,True
44,smithtammy@example.net,Joel,Gray,58,Other,74862,Widowed,Bachelor,Suburban,Port Brandiborough,Idaho,USA,2023-01-24,2023-02-13,Web,False
45,hschmidt@example.org,Kristin,Cox,37,F,80398,Widowed,High School,Suburban,Michaelfort,Illinois,USA,2023-03-12,2023-04-08,Email,True
46,washingtonamanda@example.com,Ana,Hernandez,46,Other,94059,Married,Bachelor,Urban,Port Natashastad,Maryland,USA,2024-03-05,2024-03-31,Web,False
47,brownkyle@example.net,Alan,Anderson,34,F,55170,Divorced,Some College,Urban,North Nicholas,Tennessee,USA,2024-03-14,2024-03-25,Mobile App,True
48,ngarcia@example.net,Willie,Brooks,39,Other,21094,Married,Master,Suburban,Hansonfurt,Kentucky,USA,2024-07-02,2024-07-31,Email,True
49,hwalsh@example.com,William,Cook,49,Other,72831,Married,High School,Rural,Dennisville,New Mexico,USA,2023-01-11,2023-02-01,Email,True
50,sharongreen@example.org,Richard,Sullivan,45,Other,57962,Divorced,High School,Urban,Joshuaville,Missouri,USA,2023-11-28,2023-12-26,Mobile App,True
51,tyler89@example.com,Gabriel,Pitts,23,F,52380,Single,Master,Suburban,Campbellview,Maine,USA,2024-05-26,2024-06-11,Email,False
52,ericapace@example.net,Linda,Morrow,39,M,40931,Widowed,PhD,Urban,North Cindyville,Alabama,USA,2024-04-06,2024-04-07,Web,True
53,christopherfields@example.com,Patricia,Logan,42,F,77121,Married,PhD,Suburban,Wheelerborough,Rhode Island,USA,2023-07-12,2023-07-18,Mobile App,True
54,shirleynelson@example.net,Diane,Calderon,73,Other,70237,Single,Bachelor,Suburban,Lake Courtney,Maine,USA,2023-07-15,2023-07-15,Mobile App,True
55,brownwilliam@example.org,Adam,Smith,48,M,62766,Widowed,Master,Suburban,Port Jamesfurt,Minnesota,USA,2024-05-29,2024-06-11,Mobile App,True
56,stanley43@example.com,Charles,Kelly,18,F,64204,Divorced,High School,Urban,South Katieville,Arkansas,USA,2024-07-09,2024-07-23,Mobile App,True
57,kerrjoy@example.org,Rachael,Smith,45,Other,138897,Married,PhD,Suburban,New William,Idaho,USA,2024-07-20,2024-08-01,Mobile App,True
58,josephkramer@example.com,Kristi,Drake,42,Other,74046,Widowed,Bachelor,Rural,Stevensonmouth,Maine,USA,2024-12-06,2024-12-25,Web,True
59,karen93@example.com,Mark,Parker,44,M,29939,Single,PhD,Suburban,West Sierra,Ohio,USA,2023-04-17,2023-04-20,Mobile App,True
60,sampsonscott@example.com,Sara,Morales,62,Other,87557,Single,Master,Rural,West Tonyborough,Iowa,USA,2024-09-30,2024-10-18,Web,True
61,vsmith@example.net,Audrey,Harper,56,M,37718,Married,Master,Rural,West Jessicaberg,Iowa,USA,2024-03-06,2024-03-18,Web,True
62,marywarner@example.com,Nicole,Wilson,66,M,22944,Divorced,Master,Suburban,Anthonystad,New Jersey,USA,2024-04-25,2024-05-24,Email,True
63,paige45@example.org,Meghan,Fleming,53,M,130713,Divorced,Some College,Rural,West Lori,Nevada,USA,2024-02-10,2024-02-19,Mobile App,True
64,hernandezpaul@example.org,Jennifer,Mason,30,F,48011,Widowed,Some College,Urban,East Robertstad,Virginia,USA,2023-09-28,2023-10-26,Mobile App,False
65,kevinwilliams@example.org,Brittany,Marsh,46,M,49895,Divorced,PhD,Rural,Lake Edward,Louisiana,USA,2023-01-27,2023-02-15,Mobile App,True
66,kjones@example.net,Amanda,Rios,21,F,67056,Married,PhD,Suburban,Stacyfort,New Jersey,USA,2024-08-08,2024-08-14,Email,True
67,sara16@example.com,Robert,Snyder,29,Other,79207,Widowed,Some College,Rural,East Amberview,Kansas,USA,2023-02-22,2023-03-06,Email,True
68,phyllistownsend@example.net,Ricky,Foster,31,Other,111498,Married,Master,Urban,Samanthaburgh,Nebraska,USA,2023-11-22,2023-11-25,Email,True
69,aramsey@example.com,Kelly,Stewart,33,M,55338,Widowed,Bachelor,Rural,South Donnatown,Massachusetts,USA,2024-05-31,2024-06-05,Mobile App,True
70,xchurch@example.net,Evan,Brown,57,M,28074,Widowed,High School,Rural,Adrienneside,Minnesota,USA,2023-04-06,2023-04-30,Email,True
71,clewis@example.org,Laura,Davis,48,Other,104214,Single,PhD,Suburban,Joshualand,Maine,USA,2024-09-24,2024-09-24,Email,True
72,ibrowning@example.net,Edward,Shah,20,Other,70539,Divorced,Some College,Urban,Port Andrea,Michigan,USA,2024-04-09,2024-04-29,Web,True
73,lmckay@example.org,Daniel,Reed,48,M,88454,Widowed,Bachelor,Rural,Ramirezchester,Minnesota,USA,2024-07-02,2024-07-03,Mobile App,False
74,fhunt@example.net,Timothy,Riddle,26,Other,25386,Single,PhD,Urban,Jonathanville,Massachusetts,USA,2023-05-28,2023-05-31,Mobile App,True
75,baxtertanya@example.net,Dawn,Cooper,52,M,73909,Married,Bachelor,Suburban,Sarahfort,Iowa,USA,2023-05-06,2023-06-03,Web,False
76,cpeterson@example.net,David,Strickland,48,F,75393,Married,Master,Urban,West Bradley,Arkansas,USA,2024-05-21,2024-06-05,Web,True
77,thernandez@example.net,Michael,Wallace,34,Other,71967,Single,Some College,Rural,Courtneytown,Wisconsin,USA,2024-05-13,2024-05-26,Mobile App,True
78,ncarr@example.org,Drew,White,49,F,43569,Married,Some College,Suburban,Port Annafort,New Mexico,USA,2024-10-10,2024-10-10,Web,True
79,ubennett@example.com,Kara,Crosby,72,Other,79214,Single,High School,Suburban,Pamelamouth,Arkansas,USA,2024-10-08,2024-10-19,Mobile App,True
80,salazarlauren@example.org,Jason,Munoz,27,Other,84696,Single,Some College,Rural,Jasonhaven,Nebraska,USA,2024-09-06,2024-09-29,Mobile App,True
81,daleoconnor@example.com,Jason,Bradley,30,Other,88612,Single,PhD,Urban,Watsonborough,Tennessee,USA,2023-07-17,2023-08-02,Email,True
82,maldonadodarin@example.org,John,Morris,62,F,40379,Single,Some College,Urban,Stephanieview,New York,USA,2023-08-10,2023-08-20,Web,True
83,dmoore@example.net,Larry,Cook,59,M,77383,Divorced,Bachelor,Suburban,North Sara,Oregon,USA,2024-12-09,2024-12-15,Web,True
84,randy68@example.com,Stephen,Douglas,57,Other,121903,Divorced,Master,Rural,Morganstad,Tennessee,USA,2024-07-18,2024-08-12,Mobile App,True
85,victor78@example.org,John,Osborne,41,M,42387,Divorced,Some College,Urban,Angelmouth,Michigan,USA,2024-02-14,2024-03-06,Email,True
86,anthony52@example.org,Dustin,Andersen,31,M,40525,Divorced,Some College,Urban,Taylorville,Oklahoma,USA,2024-02-07,2024-03-08,Email,True
87,adrianbarnes@example.com,Bradley,Williamson,43,F,75234,Divorced,Bachelor,Rural,North James,New Mexico,USA,2024-04-01,2024-04-04,Email,True
88,tylermoreno@example.org,Jeremy,Swanson,49,Other,89815,Divorced,Bachelor,Rural,West Walter,Wyoming,USA,2023-07-24,2023-08-19,Web,True
89,ycox@example.com,Richard,Orr,45,Other,108606,Divorced,PhD,Suburban,West Rachel,New Mexico,USA,2023-02-04,2023-02-13,Email,True
90,christopher53@example.net,Lauren,Franco,41,Other,146605,Divorced,Master,Urban,New Gregorytown,New Mexico,USA,2024-10-22,2024-10-25,Web,True
91,theresa61@example.com,Kara,Cook,54,M,39285,Divorced,Some College,Urban,Dalemouth,Nebraska,USA,2024-03-15,2024-03-21,Email,True
92,melissa60@example.net,Jose,Lucas,28,F,79474,Single,High School,Suburban,Lake Tammyberg,Wyoming,USA,2023-05-29,2023-06-20,Web,True
93,teresa65@example.com,Kim,Gibson,41,F,86420,Divorced,Some College,Rural,South Edwardville,Nebraska,USA,2023-08-07,2023-08-09,Mobile App,True
94,wonggregory@example.net,Julie,Nelson,52,Other,62815,Married,High School,Rural,New Timothy,Pennsylvania,USA,2023-08-06,2023-08-14,Email,True
95,jennifer71@example.com,Brian,Macias,32,M,19554,Widowed,Master,Suburban,Lake Susanberg,West Virginia,USA,2024-11-18,2024-12-14,Mobile App,True
96,obarnes@example.net,Megan,Hopkins,38,F,90691,Widowed,High School,Suburban,Lake Aaron,Rhode Island,USA,2023-02-20,2023-03-05,Web,True
97,wrodriguez@example.com,John,Romero,48,Other,27627,Divorced,PhD,Suburban,Audreyfort,California,USA,2023-06-25,2023-07-02,Email,False
98,sbell@example.com,Pamela,Shepard,47,Other,76559,Single,Master,Suburban,East Angela,Texas,USA,2023-01-19,2023-01-23,Mobile App,False
99,fishervincent@example.net,Jennifer,Cisneros,31,Other,69611,Single,Bachelor,Rural,Sandersside,New Hampshire,USA,2024-06-30,2024-06-30,Web,True
100,patty93@example.com,Nancy,Moreno,45,Other,30710,Divorced,Bachelor,Suburban,Stephensville,South Dakota,USA,2024-03-01,2024-03-25,Mobile App,True
101,hutchinsonlinda@example.com,Brittany,King,50,F,81823,Widowed,PhD,Urban,Lake Katie,Georgia,USA,2024-07-23,2024-08-04,Mobile App,True
102,caldwellkatherine@example.org,Linda,Reid,61,F,96614,Single,Bachelor,Rural,Owenston,Missouri,USA,2024-04-10,2024-04-13,Web,True
103,yatessonya@example.net,Shawn,Brown,24,M,36865,Single,Bachelor,Rural,Katiehaven,Wyoming,USA,2023-01-11,2023-02-03,Mobile App,True
104,bcooper@example.com,Kenneth,Sharp,52,M,80413,Divorced,PhD,Urban,Cainmouth,North Carolina,USA,2023-04-01,2023-04-30,Email,True
105,jessicajones@example.org,Vanessa,Robinson,52,M,180581,Single,High School,Suburban,Denisehaven,New Jersey,USA,2023-09-23,2023-09-25,Mobile App,True
106,samanthaobrien@example.net,Lisa,Salas,53,F,99066,Divorced,Some College,Urban,New Karen,Arkansas,USA,2024-09-19,2024-10-07,Mobile App,True
107,selenasmith@example.net,Patrick,Li,59,M,84541,Widowed,Master,Rural,South Cynthiatown,Indiana,USA,2023-11-23,2023-11-26,Email,True
108,frances27@example.org,Jamie,David,40,F,87769,Widowed,Bachelor,Suburban,Richardton,Florida,USA,2024-08-14,2024-09-07,Email,True
109,lcain@example.net,Eric,Small,33,F,57895,Divorced,High School,Suburban,Lopezport,New Mexico,USA,2023-04-05,2023-04-22,Web,True
110,bradychad@example.org,Tina,Davis,37,Other,67456,Single,High School,Suburban,South Jeffreytown,Arkansas,USA,2023-07-30,2023-07-31,Web,False
111,iray@example.net,Derek,Reid,79,F,15000,Widowed,Some College,Suburban,East Joeside,Kansas,USA,2023-08-10,2023-08-13,Mobile App,True
112,csmith@example.org,Kimberly,Ray,55,Other,16618,Divorced,Bachelor,Rural,Jenniferhaven,Idaho,USA,2024-08-27,2024-09-10,Email,True
113,baileyhailey@example.net,Danielle,Jones,37,M,97668,Married,Some College,Suburban,South Amyville,South Carolina,USA,2024-05-31,2024-06-12,Mobile App,True
114,pdawson@example.net,Brett,Watson,45,M,32667,Widowed,Some College,Urban,Gilberttown,Wisconsin,USA,2024-06-09,2024-06-17,Mobile App,True
115,leenathaniel@example.net,Elizabeth,Sanders,34,Other,85387,Single,Some College,Suburban,New Shaunchester,Kentucky,USA,2023-11-11,2023-12-09,Web,True
116,tburton@example.org,Joseph,Henry,34,M,71493,Widowed,Some College,Suburban,Prattport,Arkansas,USA,2023-09-04,2023-09-04,Mobile App,True
117,joycestevens@example.org,Joshua,Gonzalez,45,F,45451,Divorced,High School,Rural,Steventown,North Dakota,USA,2024-04-08,2024-04-10,Mobile App,True
118,bpacheco@example.org,Kevin,Crawford,77,F,84017,Widowed,PhD,Suburban,Cliffordburgh,South Carolina,USA,2023-06-04,2023-06-05,Mobile App,True
