order_id,customer_id,order_date,status,total_amount,shipping_cost,payment_method,shipping_address,billing_address,created_at,updated_at
1,1,2024-08-18,Delivered,3672.88,8.56,Debit Card,0795 Berger Hollow,48470 Robin Springs,2024-08-18,2024-08-18
2,1,2024-11-19,Delivered,1591.5,15.41,PayPal,194 Traci Pine Suite 988,06758 Lee Place,2024-11-19,2024-11-19
3,1,2024-03-20,Delivered,2156.39,19.16,Credit Card,661 Griffith Alley,083 Newman Keys,2024-03-20,2024-03-22
4,2,2024-10-23,Delivered,3136.85,10.97,Debit Card,73665 Cherry Turnpike Suite 701,5876 Yolanda Wall,2024-10-23,2024-10-26
5,2,2024-08-03,Delivered,2188.94,9.81,PayPal,8167 Miller Glen,549 Vincent Coves,2024-08-03,2024-08-05
6,2,2024-10-15,Delivered,2928.28,5.78,Debit Card,8891 Robert Vista Apt. 397,2065 Courtney Station Apt. 872,2024-10-15,2024-10-15
7,2,2024-11-17,Delivered,2180.34,14.4,Debit Card,059 Crystal Gateway Suite 418,7910 Christopher Oval Suite 694,2024-11-17,2024-11-18
8,2,2024-09-07,Delivered,5331.3,19.76,Credit Card,195 Paul Lake,9129 Tucker Valley Apt. 620,2024-09-07,2024-09-07
9,2,2024-09-15,Delivered,3239.31,9.56,PayPal,92019 Rodriguez Islands,1350 Humphrey Courts Apt. 703,2024-09-15,2024-09-16
10,2,2024-10-11,Delivered,3318.21,9.48,Debit Card,781 Lee Knoll,4308 Daniel Ridge,2024-10-11,2024-10-15
11,2,2024-08-19,Delivered,709.66,11.11,Debit Card,41853 Edwards Mountain Suite 315,10994 Travis Island,2024-08-19,2024-08-21
12,2,2024-08-16,Delivered,1901.71,5.8,Debit Card,13738 Kelsey Highway Apt. 515,323 Dawson Creek,2024-08-16,2024-08-16
13,2,2024-07-28,Delivered,2458.69,12.61,Debit Card,04948 Bruce Shores,295 Monroe Fork Apt. 493,2024-07-28,2024-07-28
14,3,2024-11-27,Delivered,182.12,9.34,Credit Card,962 Jeffrey Port,704 Bradford Village Suite 884,2024-11-27,2024-12-02
15,3,2024-10-13,Delivered,6419.0,19.88,Debit Card,125 Gonzalez Tunnel Apt. 638,08958 Stephen Light,2024-10-13,2024-10-18
16,3,2024-10-09,Delivered,6231.64,16.5,Debit Card,894 Romero Plains,965 Cameron Grove Apt. 091,2024-10-09,2024-10-14
17,3,2024-11-02,Delivered,2609.62,16.39,Debit Card,24951 Moreno Ville,709 Smith Causeway Apt. 820,2024-11-02,2024-11-05
18,4,2023-09-27,Delivered,1767.26,18.34,Debit Card,9864 Derek Pine,82694 Greer Skyway Apt. 739,2023-09-27,2023-09-29
19,4,2024-06-04,Delivered,2379.59,10.76,PayPal,41520 Christian Orchard Apt. 897,9725 Price Union Apt. 822,2024-06-04,2024-06-08
20,4,2023-10-04,Delivered,2568.52,9.42,Debit Card,6880 Wilson Circles,4121 Chandler Flat Apt. 683,2023-10-04,2023-10-08
21,4,2024-09-21,Delivered,1265.96,19.62,Credit Card,17246 Davis Terrace,00240 April Ranch Apt. 368,2024-09-21,2024-09-23
22,4,2024-09-15,Delivered,1263.8,7.12,Debit Card,6995 Burgess Glen Apt. 961,4955 Velez Circles,2024-09-15,2024-09-19
23,4,2024-12-05,Delivered,2771.96,5.82,Debit Card,253 Benjamin Alley Apt. 421,804 Robinson Key Apt. 120,2024-12-05,2024-12-08
24,4,2023-10-31,Delivered,1493.35,10.97,Debit Card,78569 Stuart Hollow,73141 Quinn Fort Apt. 532,2023-10-31,2023-11-03
25,4,2023-11-10,Delivered,232.99,16.24,Debit Card,173 Nunez Valley Suite 411,87162 Haney Row Suite 490,2023-11-10,2023-11-11
26,4,2024-05-05,Delivered,512.42,14.1,Debit Card,916 Rice Ridge Suite 379,9723 Sean Lake Suite 804,2024-05-05,2024-05-10
27,5,2024-09-25,Delivered,694.76,18.62,Debit Card,9659 Cooper Point,2236 Amy Lakes,2024-09-25,2024-09-26
28,5,2024-11-21,Delivered,705.8,18.46,PayPal,5006 Sweeney Island,3749 Mcintosh Islands,2024-11-21,2024-11-21
29,6,2024-05-09,Delivered,5869.69,19.4,Debit Card,26998 Melissa Cove,1040 Patrick Roads Apt. 394,2024-05-09,2024-05-12
30,6,2024-05-06,Delivered,1675.33,5.45,PayPal,67162 Katherine Lock,8003 Sandra Drive,2024-05-06,2024-05-10
