customer_id,email,first_name,last_name,age,gender,annual_income,marital_status,education,location_type,city,state,country,signup_date,last_login,preferred_channel,is_active
1000000,brenda00@example.com,Laurie,Gardner,52,F,60852,Divorced,High School,Urban,Danaview,Arkansas,USA,2025-09-10 16:28:57.858883,2025-09-10 16:28:57.858883,Mobile App,True
1000001,ocollins@example.org,Wesley,Turner,54,M,110690,Single,Bachelor,Urban,Karenchester,North Dakota,USA,2025-09-10 16:28:57.858883,2025-09-10 16:28:57.858883,Email,True
1000002,amanda50@example.org,Daniel,Braun,41,M,57975,Divorced,High School,Rural,Tateburgh,Maine,USA,2025-08-15 16:28:57.858883,2025-08-15 16:28:57.858883,Email,False
1000003,lolson@example.org,Brian,Walker,68,M,88023,Single,Bachelor,Urban,New Kathleenbury,Oklahoma,USA,2025-08-19 16:28:57.858883,2025-08-22 16:28:57.858883,Mobile App,False
1000004,xwalker@example.org,Heather,Sawyer,37,F,81276,Married,Bachelor,Suburban,West Kevinfurt,Maine,USA,2025-09-02 16:28:57.858883,2025-09-04 16:28:57.858883,Email,True
1000005,owenkimberly@example.org,Jeffrey,Giles,38,Other,51028,Single,Bachelor,Suburban,West Austinfurt,South Carolina,USA,2025-09-09 16:28:57.858883,2025-09-13 16:28:57.858883,Email,True
1000006,kochkristi@example.org,Timothy,Wagner,48,M,15000,Widowed,Master,Rural,Port Donaldton,Maryland,USA,2025-08-28 16:28:57.858883,2025-08-29 16:28:57.858883,Web,True
1000007,msandoval@example.net,Alexander,Ellis,19,F,48131,Single,High School,Rural,Orozcoland,Wyoming,USA,2025-09-09 16:28:57.858883,2025-09-13 16:28:57.858883,Web,True
1000008,rachel13@example.net,Alexander,Pollard,29,Other,74427,Married,Some College,Rural,Browningfort,South Carolina,USA,2025-08-19 16:28:57.858883,2025-08-24 16:28:57.858883,Email,True
1000009,balexander@example.org,John,Cooper,31,Other,22630,Divorced,Master,Urban,Lake Robin,New York,USA,2025-08-25 16:28:57.858883,2025-08-30 16:28:57.858883,Mobile App,True
1000010,yangcasey@example.net,Donna,Diaz,66,M,58226,Widowed,Some College,Urban,South Roberthaven,Arkansas,USA,2025-08-25 16:28:57.858883,2025-08-28 16:28:57.858883,Email,True
1000011,daniel29@example.org,Jeffrey,Miller,46,Other,22257,Widowed,High School,Urban,Lake Andrew,Idaho,USA,2025-08-14 16:28:57.858883,2025-08-15 16:28:57.858883,Web,True
1000012,cameron19@example.org,Joel,Long,36,M,68327,Widowed,High School,Suburban,West Troyhaven,Kansas,USA,2025-09-04 16:28:57.858883,2025-09-08 16:28:57.858883,Mobile App,True
1000013,david88@example.org,Eric,Romero,27,M,76270,Divorced,PhD,Suburban,Faulknermouth,Vermont,USA,2025-09-04 16:28:57.858883,2025-09-05 16:28:57.858883,Mobile App,False
1000014,donald45@example.net,Laura,Rodriguez,35,F,56249,Divorced,Master,Suburban,Lake Rebecca,Florida,USA,2025-09-08 16:28:57.858883,2025-09-13 16:28:57.858883,Mobile App,True
1000015,ynorman@example.com,Louis,Ray,35,Other,120568,Widowed,High School,Suburban,Carlosmouth,Alaska,USA,2025-09-09 16:28:57.858883,2025-09-09 16:28:57.858883,Mobile App,True
1000016,susan38@example.org,Elizabeth,Cooper,44,Other,33268,Married,Master,Suburban,Tinafort,Maryland,USA,2025-08-17 16:28:57.858883,2025-08-21 16:28:57.858883,Email,True
1000017,gary93@example.com,Michelle,Griffin,57,F,28374,Single,Master,Rural,Wyattburgh,Illinois,USA,2025-08-14 16:28:57.858883,2025-08-16 16:28:57.858883,Mobile App,True
1000018,jonesthomas@example.net,Aaron,Perry,48,M,15000,Single,Some College,Rural,New Jesse,Wisconsin,USA,2025-08-16 16:28:57.858883,2025-08-21 16:28:57.858883,Email,False
1000019,sali@example.net,Stacey,Thomas,25,F,70905,Widowed,Some College,Rural,Kathleenfurt,Alaska,USA,2025-08-17 16:28:57.858883,2025-08-17 16:28:57.858883,Mobile App,True
1000020,jjordan@example.net,Jonathan,Johnson,56,F,70141,Single,Bachelor,Suburban,Jonhaven,Kansas,USA,2025-09-06 16:28:57.858883,2025-09-09 16:28:57.858883,Mobile App,True
1000021,claudia24@example.org,Andrew,Parsons,43,M,55966,Single,Some College,Rural,Port Michelletown,Wyoming,USA,2025-08-16 16:28:57.858883,2025-08-19 16:28:57.858883,Web,True
1000022,aliciazamora@example.org,Ryan,Hall,22,F,43404,Married,Master,Suburban,Lake Spencerberg,North Dakota,USA,2025-08-15 16:28:57.858883,2025-08-18 16:28:57.858883,Web,True
1000023,mcgeemonica@example.com,Andre,Nielsen,38,M,96713,Widowed,High School,Suburban,Millermouth,Pennsylvania,USA,2025-08-25 16:28:57.858883,2025-08-28 16:28:57.858883,Mobile App,False
1000024,andrea63@example.org,Jennifer,Herrera,50,M,15000,Married,Bachelor,Rural,South Ellenfort,Minnesota,USA,2025-09-09 16:28:57.858883,2025-09-12 16:28:57.858883,Web,True
1000025,john49@example.net,Jessica,Miller,49,M,53447,Divorced,Master,Suburban,Mannburgh,Maine,USA,2025-08-20 16:28:57.858883,2025-08-23 16:28:57.858883,Web,False
1000026,phyllis57@example.org,Brian,Romero,34,Other,83350,Widowed,Bachelor,Suburban,Connieshire,Minnesota,USA,2025-08-17 16:28:57.858883,2025-08-17 16:28:57.858883,Email,True
1000027,gnguyen@example.com,Robert,Vargas,60,F,92938,Widowed,High School,Suburban,Lake Stephen,Florida,USA,2025-09-09 16:28:57.858883,2025-09-09 16:28:57.858883,Email,True
1000028,tonyaholland@example.com,Corey,Franklin,32,M,55723,Divorced,Some College,Urban,Port Amanda,Washington,USA,2025-08-31 16:28:57.858883,2025-09-04 16:28:57.858883,Web,True
1000029,jonathandelacruz@example.org,Peter,Smith,49,F,94266,Married,Some College,Suburban,New Karen,Pennsylvania,USA,2025-08-31 16:28:57.858883,2025-09-02 16:28:57.858883,Mobile App,True
1000030,yolanda91@example.org,Rachel,Wilson,37,M,59430,Widowed,Bachelor,Rural,Port Michaela,New York,USA,2025-08-27 16:28:57.858883,2025-09-01 16:28:57.858883,Email,True
1000031,hunterjoseph@example.com,David,Holmes,28,Other,29113,Married,High School,Rural,Christinastad,Iowa,USA,2025-09-13 16:28:57.858883,2025-09-13 16:28:57.858883,Email,True
1000032,martinezemma@example.com,Johnny,Williams,57,Other,105687,Divorced,High School,Urban,Jaimeton,Washington,USA,2025-09-09 16:28:57.858883,2025-09-11 16:28:57.858883,Mobile App,True
1000033,lmartinez@example.com,Jeremy,Haas,43,M,95105,Widowed,Bachelor,Rural,Cynthiahaven,Indiana,USA,2025-08-29 16:28:57.858883,2025-08-31 16:28:57.858883,Email,False
1000034,stephanie26@example.net,Pamela,Smith,50,Other,45646,Widowed,PhD,Urban,West Marystad,North Dakota,USA,2025-08-30 16:28:57.858883,2025-08-31 16:28:57.858883,Web,True
1000035,stevengarcia@example.net,Jeremy,Wilson,50,Other,111141,Married,PhD,Suburban,South Kathy,Maine,USA,2025-09-07 16:28:57.858883,2025-09-10 16:28:57.858883,Web,True
1000036,sbarnes@example.org,Brett,Jarvis,44,Other,111939,Single,Bachelor,Suburban,Mcmahonberg,Connecticut,USA,2025-08-14 16:28:57.858883,2025-08-15 16:28:57.858883,Web,True
1000037,debra40@example.org,Jacqueline,Kirby,18,M,89657,Widowed,Master,Suburban,New Cheryl,Virginia,USA,2025-09-04 16:28:57.858883,2025-09-08 16:28:57.858883,Mobile App,True
1000038,stewartjon@example.com,Brian,Nelson,46,F,56029,Divorced,High School,Urban,Christineton,Rhode Island,USA,2025-08-18 16:28:57.858883,2025-08-22 16:28:57.858883,Mobile App,True
1000039,qdavis@example.com,John,Hunt,46,Other,15000,Married,PhD,Suburban,Collinschester,Oklahoma,USA,2025-09-08 16:28:57.858883,2025-09-12 16:28:57.858883,Mobile App,True
1000040,moralescourtney@example.org,Richard,Jackson,41,Other,75713,Widowed,Bachelor,Rural,Lake Stephanie,Georgia,USA,2025-08-23 16:28:57.858883,2025-08-28 16:28:57.858883,Email,True
1000041,tracyanderson@example.net,Kevin,Davis,67,M,49451,Single,High School,Rural,Powellfort,Virginia,USA,2025-08-16 16:28:57.858883,2025-08-16 16:28:57.858883,Web,True
1000042,steven04@example.org,Jason,Matthews,32,F,49947,Single,Master,Rural,East Denise,Minnesota,USA,2025-08-31 16:28:57.858883,2025-08-31 16:28:57.858883,Email,True
1000043,nicole32@example.net,Daniel,Ryan,58,F,74862,Married,Some College,Suburban,West Justinview,Virginia,USA,2025-08-23 16:28:57.858883,2025-08-25 16:28:57.858883,Email,True
1000044,jennifer55@example.org,Joshua,Hamilton,37,M,80398,Divorced,Master,Suburban,Velasquezview,Wyoming,USA,2025-09-07 16:28:57.858883,2025-09-10 16:28:57.858883,Email,True
1000045,lori89@example.net,Jeremy,Stone,46,M,94059,Divorced,Some College,Rural,East Patrickburgh,Montana,USA,2025-08-21 16:28:57.858883,2025-08-24 16:28:57.858883,Mobile App,True
1000046,westpaige@example.com,Stephanie,Moore,34,F,55170,Widowed,Some College,Urban,North Jaclynmouth,Nevada,USA,2025-08-23 16:28:57.858883,2025-08-25 16:28:57.858883,Mobile App,False
1000047,washingtonkevin@example.com,Kathleen,Stewart,39,F,21094,Divorced,Bachelor,Urban,Port Lisafurt,Virginia,USA,2025-09-13 16:28:57.858883,2025-09-13 16:28:57.858883,Email,True
