order_id,customer_id,order_date,status,total_amount,shipping_cost,payment_method,shipping_address,billing_address,created_at,updated_at
1000001,1000000,2025-09-11 16:28:57.858883,Processing,2404.01,17.05,Credit Card,269 Rodriguez Pass Suite 363,49210 Mathew Cove Apt. 272,2025-09-11 16:28:57.858883,2025-09-11 16:28:57.858883
2000002,1000001,2025-09-10 16:28:57.858883,Processing,2863.8,19.93,Credit Card,260 Alexa Well,825 Frost Corners,2025-09-10 16:28:57.858883,2025-09-11 16:28:57.858883
3000003,1000001,2025-09-10 16:28:57.858883,Processing,3490.58,13.97,Debit Card,5702 Flores Trace,641 Anna Manor Apt. 090,2025-09-10 16:28:57.858883,2025-09-11 16:28:57.858883
4000004,1000002,2025-08-20 16:28:57.858883,Delivered,1235.2,14.37,Debit Card,402 Matthew Ridges,0717 Bell Prairie,2025-08-20 16:28:57.858883,2025-08-22 16:28:57.858883
5000005,1000002,2025-08-25 16:28:57.858883,Delivered,1728.37,16.39,Debit Card,07773 Christina Plains Suite 765,9265 Escobar Oval,2025-08-25 16:28:57.858883,2025-08-27 16:28:57.858883
6000006,1000003,2025-08-20 16:28:57.858883,Delivered,182.66,19.72,Credit Card,3867 Darlene Valley,33380 Kathleen Well Suite 774,2025-08-20 16:28:57.858883,2025-08-22 16:28:57.858883
7000007,1000003,2025-09-04 16:28:57.858883,Delivered,2931.74,7.18,Debit Card,5082 Carlson Manor Suite 879,439 Jason Road,2025-09-04 16:28:57.858883,2025-09-06 16:28:57.858883
8000008,1000003,2025-09-06 16:28:57.858883,Delivered,3323.59,7.2,PayPal,2534 Smith Gateway Suite 323,286 Barr Tunnel Suite 731,2025-09-06 16:28:57.858883,2025-09-06 16:28:57.858883
9000009,1000004,2025-09-02 16:28:57.858883,Delivered,3858.33,12.51,Debit Card,3814 Smith Walk Suite 674,772 Galvan Path Suite 714,2025-09-02 16:28:57.858883,2025-09-02 16:28:57.858883
10000010,1000004,2025-09-02 16:28:57.858883,Delivered,1804.84,7.63,Credit Card,4404 Wanda Curve,3388 Robert Streets Apt. 423,2025-09-02 16:28:57.858883,2025-09-03 16:28:57.858883
11000011,1000004,2025-09-02 16:28:57.858883,Delivered,1273.96,7.12,Debit Card,13987 Aaron Brooks Apt. 050,6459 Adam Parkways Apt. 512,2025-09-02 16:28:57.858883,2025-09-04 16:28:57.858883
12000012,1000005,2025-09-09 16:28:57.858883,Shipped,4983.8,19.06,PayPal,12693 Martinez Shores,51297 Smith Crossing Apt. 891,2025-09-09 16:28:57.858883,2025-09-09 16:28:57.858883
13000013,1000006,2025-09-01 16:28:57.858883,Delivered,4944.32,14.6,Credit Card,982 David Station Apt. 038,058 Brian Skyway Apt. 442,2025-09-01 16:28:57.858883,2025-09-03 16:28:57.858883
14000014,1000006,2025-09-07 16:28:57.858883,Shipped,7523.53,9.64,Credit Card,8301 Charles Inlet Apt. 652,37028 Washington Ranch,2025-09-07 16:28:57.858883,2025-09-08 16:28:57.858883
15000015,1000007,2025-09-09 16:28:57.858883,Shipped,5004.56,14.94,Credit Card,003 Kurt Mission,4213 Lindsey Squares,2025-09-09 16:28:57.858883,2025-09-11 16:28:57.858883
16000016,1000007,2025-09-09 16:28:57.858883,Shipped,1803.48,13.42,Debit Card,7532 Veronica Ville Apt. 521,435 Jacqueline Meadow,2025-09-09 16:28:57.858883,2025-09-09 16:28:57.858883
17000017,1000007,2025-09-09 16:28:57.858883,Shipped,5467.31,18.53,Credit Card,978 Welch Prairie Apt. 002,07616 Baker Valleys,2025-09-09 16:28:57.858883,2025-09-11 16:28:57.858883
18000018,1000009,2025-08-25 16:28:57.858883,Delivered,4948.14,17.73,Debit Card,5451 Murphy Streets Apt. 230,8789 Kyle Roads Suite 175,2025-08-25 16:28:57.858883,2025-08-27 16:28:57.858883
19000019,1000009,2025-09-09 16:28:57.858883,Shipped,2854.5,11.51,PayPal,2485 Stone Mountain Apt. 955,971 Joel Union,2025-09-09 16:28:57.858883,2025-09-11 16:28:57.858883
