CUSTOMER_ID,EMAIL,FIRST_NAME,LAST_NAME,AGE,GENDER,ANNUAL_INCOME,MARITAL_STATUS,EDUCATION,LOCATION_TYPE,CITY,STATE,COUNTRY,SIGNUP_DATE,LAST_LOGIN,PREFERRED_CHANNEL,IS_ACTIVE,DATA_SOURCE,BATCH_ID,LOADED_AT
1,tommymiller@example.net,William,Stuart,52,Other,60852,Divorced,Some College,Rural,West Stephanietown,Nevada,USA,2024-02-28 00:00:00.000,2024-03-28T00:00:00.000,Web,True,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
16,wallcatherine@example.org,Kyle,Collins,35,Other,120568,Single,Some College,Suburban,Kevintown,Utah,USA,2024-02-15 00:00:00.000,2024-02-20T00:00:00.000,Email,True,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
3,hannah52@example.com,Thomas,Coleman,41,Other,57975,Widowed,PhD,Rural,Bellstad,North Carolina,USA,2024-08-17 00:00:00.000,2024-09-10T00:00:00.000,Email,True,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
4,justin02@example.net,Jeffrey,Butler,68,Other,88023,Single,Some College,Suburban,Port Virginia,California,USA,2023-08-13 00:00:00.000,2023-08-13T00:00:00.000,Web,True,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
5,hharris@example.com,John,Simmons,37,F,81276,Widowed,Some College,Urban,North Laurie,Ohio,USA,2023-01-18 00:00:00.000,2023-01-19T00:00:00.000,Mobile App,True,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
6,jacqueline86@example.org,Alexa,Schroeder,38,F,51028,Widowed,Some College,Rural,Dannyberg,Arizona,USA,2023-05-23 00:00:00.000,2023-06-21T00:00:00.000,Mobile App,True,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
7,wilkersonamanda@example.com,Elizabeth,Maynard,48,M,15000,Married,High School,Rural,Stephaniefort,South Carolina,USA,2023-08-18 00:00:00.000,2023-09-09T00:00:00.000,Web,True,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
8,tpeterson@example.org,Robert,Higgins,19,Other,48131,Widowed,Bachelor,Urban,New Jamie,Idaho,USA,2023-01-27 00:00:00.000,2023-02-18T00:00:00.000,Web,True,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
9,jason04@example.org,Ashley,Ware,29,F,74427,Married,High School,Urban,New Jordantown,New Mexico,USA,2023-03-17 00:00:00.000,2023-03-28T00:00:00.000,Web,False,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
10,kurtedwards@example.net,Brandon,Wood,31,M,22630,Widowed,Some College,Urban,Tanyamouth,Massachusetts,USA,2023-03-20 00:00:00.000,2023-04-04T00:00:00.000,Email,True,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
11,stevenpena@example.net,Chad,Boone,66,Other,58226,Divorced,Master,Suburban,Lake Cole,Colorado,USA,2024-06-24 00:00:00.000,2024-07-17T00:00:00.000,Mobile App,True,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
12,bobbymoore@example.com,Mary,Miller,46,Other,22257,Single,Bachelor,Urban,North David,Iowa,USA,2024-10-22 00:00:00.000,2024-10-26T00:00:00.000,Web,True,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
13,murillosheryl@example.net,Emily,Carter,36,Other,68327,Married,PhD,Urban,Lake Adam,South Dakota,USA,2023-02-02 00:00:00.000,2023-02-02T00:00:00.000,Mobile App,True,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
