ORDER_ID,CUSTOMER_ID,ORDER_DATE,STATUS,TOTAL_AMOUNT,SHIPPING_COST,PAYMENT_METHOD,SHIPPING_ADDRESS,BILLING_ADDRESS,CREATED_AT,UPDATED_AT,DATA_SOURCE,BATCH_ID,LOADED_AT
1,1,2024-08-18 00:00:00.000,Delivered,3672.88,8.56,Debit Card,0795 Berger Hollow,48470 Robin Springs,2024-08-18 00:00:00.000,2024-08-18 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
16,3,2024-10-09 00:00:00.000,Delivered,6231.64,16.5,Debit Card,894 Romero Plains,965 Cameron Grove Apt. 091,2024-10-09 00:00:00.000,2024-10-14 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
4,2,2024-10-23 00:00:00.000,Delivered,3136.85,10.97,Debit Card,73665 Cherry Turnpike Suite 701,5876 Yolanda Wall,2024-10-23 00:00:00.000,2024-10-26 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
5,2,2024-08-03 00:00:00.000,Delivered,2188.94,9.81,PayPal,8167 Miller Glen,549 Vincent Coves,2024-08-03 00:00:00.000,2024-08-05 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
6,2,2024-10-15 00:00:00.000,Delivered,2928.28,5.78,Debit Card,8891 Robert Vista Apt. 397,2065 Courtney Station Apt. 872,2024-10-15 00:00:00.000,2024-10-15 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
7,2,2024-11-17 00:00:00.000,Delivered,2180.34,14.4,Debit Card,059 Crystal Gateway Suite 418,7910 Christopher Oval Suite 694,2024-11-17 00:00:00.000,2024-11-18 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
8,2,2024-09-07 00:00:00.000,Delivered,5331.3,19.76,Credit Card,195 Paul Lake,9129 Tucker Valley Apt. 620,2024-09-07 00:00:00.000,2024-09-07 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
9,2,2024-09-15 00:00:00.000,Delivered,3239.31,9.56,PayPal,92019 Rodriguez Islands,1350 Humphrey Courts Apt. 703,2024-09-15 00:00:00.000,2024-09-16 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
10,2,2024-10-11 00:00:00.000,Delivered,3318.21,9.48,Debit Card,781 Lee Knoll,4308 Daniel Ridge,2024-10-11 00:00:00.000,2024-10-15 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
11,2,2024-08-19 00:00:00.000,Delivered,709.66,11.11,Debit Card,41853 Edwards Mountain Suite 315,10994 Travis Island,2024-08-19 00:00:00.000,2024-08-21 00:00:00.000,historic,be920dc9-84fe-47d5-91f4-71c23d08ba7c,2025-09-13 16:29:38.069582
